rank,country,national cyber security index,digital development level,difference
153.,Tajikistan,10.39,34.56,-24.17
117.,"Tanzania, United Republic of",24.68,26.96,-2.28
44.,Thailand,64.94,56.63,8.31
170.,Togo,3.90,,
116.,Tonga,25.97,43.40,-17.43
101.,Trinidad and Tobago,33.77,52.60,-18.83
68.,Tunisia,53.25,46.26,6.99
66.,Türkiye,54.55,58.29,-3.74
164.,Turkmenistan,7.79,,
171.,Tuvalu,2.60,,
74.,Uganda,50.65,26.71,23.94
24.,Ukraine,75.32,55.96,19.36
89.,United Arab Emirates,40.26,68.87,-28.61
9.,United Kingdom,89.61,79.96,9.65
45.,United States,64.94,81.05,-16.11
56.,Uruguay,59.74,63.86,-4.12
94.,Uzbekistan,36.36,49.00,-12.64
115.,Vanuatu,27.27,28.10,-0.83
172.,Vatican City,2.60,,
111.,Venezuela,28.57,43.14,-14.57
93.,Vietnam,36.36,47.69,-11.33
158.,Yemen,7.79,18.00,-10.21
63.,Zambia,55.84,29.66,26.18
140.,Zimbabwe,15.58,28.97,-13.39
